"brand","so_luong","trung_binh","trung_vi","nho_nhat","lon_nhat","phuong_sai","do_lech_chuan"
"CITROEN",3,526333333.333333,2.9e+08,2.9e+08,9.99e+08,167560333333333344,409341340.855445
"BAIC",3,4.33e+08,4.85e+08,3.15e+08,4.99e+08,1.0492e+16,102430464.218415
"FOTON",3,372333333.333333,2.66e+08,2.52e+08,5.99e+08,38582333333333336,196423861.415393
"RENAULT",3,2.8e+08,2.75e+08,2.7e+08,2.95e+08,1.75e+14,13228756.555323
"MCLAREN",2,9.243e+09,9.243e+09,6.986e+09,1.15e+10,1.0188098e+19,3191880010.27608
"RAM",2,3494500000,3494500000,2.999e+09,3.99e+09,4.910405e+17,700742820.155869
"JAECOO",2,7.69e+08,7.69e+08,6.99e+08,8.39e+08,9.8e+15,98994949.3661167
"CHRYSLER",2,3.8e+08,3.8e+08,3.25e+08,4.35e+08,6.05e+15,77781745.9305202
"TATA",2,327500000,327500000,2.75e+08,3.8e+08,5.5125e+15,74246212.0245875
"SAMSUNG",2,2.57e+08,2.57e+08,1.95e+08,3.19e+08,7.688e+15,87681240.8671319
"ASIA",2,5.4e+07,5.4e+07,5e+07,5.8e+07,3.2e+13,5656854.24949238
"MORGAN",1,7e+09,7e+09,7e+09,7e+09,NA,NA
"HONGQI",1,1.9e+09,1.9e+09,1.9e+09,1.9e+09,NA,NA
"PONTIAC",1,1.85e+09,1.85e+09,1.85e+09,1.85e+09,NA,NA
"FUSO",1,3.9e+08,3.9e+08,3.9e+08,3.9e+08,NA,NA
"GENESIS",1,3e+08,3e+08,3e+08,3e+08,NA,NA
"DODGE",1,2.6e+08,2.6e+08,2.6e+08,2.6e+08,NA,NA
"DOTHANH",1,2.3e+08,2.3e+08,2.3e+08,2.3e+08,NA,NA
"BESTUNE",1,2.05e+08,2.05e+08,2.05e+08,2.05e+08,NA,NA
"UAZ",1,1.72e+08,1.72e+08,1.72e+08,1.72e+08,NA,NA
"CHANGAN",1,1.05e+08,1.05e+08,1.05e+08,1.05e+08,NA,NA
"HAIMA",1,8.5e+07,8.5e+07,8.5e+07,8.5e+07,NA,NA
"SYM",1,5e+07,5e+07,5e+07,5e+07,NA,NA
